tag,level,family,coverage,avg_set_size,multi_label_rate,empty_rate,non_singleton_rate,verdict_outside_set_rate,operational_abstain_rate,n,rep,aggregation,alpha
stacked_alpha0.1,coarse,nominal,0.95,1.0,0.0,0.0,0.0,0.0,0.0,20,2,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.925,0.975,0.0,0.025,0.025,0.025,0.025,40,2,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,0.85,0.85,0.0,0.15,0.15,0.15,0.15,20,2,stacked,0.1
stacked_alpha0.2,fine,nominal,0.8,0.85,0.0,0.15,0.15,0.15,0.15,20,2,stacked,0.2
stacked_alpha0.2,fine,spoof,0.85,0.85,0.0,0.15,0.15,0.2,0.2,20,2,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.6,0.6,0.0,0.4,0.4,0.4,0.4,20,2,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,0.6,0.6,0.0,0.4,0.4,0.4,0.4,20,2,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.8,0.85,0.0,0.15,0.15,0.15,0.15,20,2,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.85,0.85,0.0,0.15,0.15,0.15,0.15,40,2,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.6,0.6,0.0,0.4,0.4,0.4,0.4,20,2,stacked,0.2
rule_alpha0.1,fine,nominal,0.75,1.6,0.45,0.0,0.45,0.0,0.45,20,3,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.35,0.3,0.0,0.3,0.0,0.3,20,3,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.8,1.3,0.25,0.0,0.25,0.0,0.25,20,3,rule,0.1
rule_alpha0.1,fine,sensor_fault,1.0,1.45,0.35,0.0,0.35,0.0,0.35,20,3,rule,0.1
rule_alpha0.1,coarse,nominal,0.75,1.6,0.45,0.0,0.45,0.0,0.45,20,3,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.825,1.225,0.2,0.0,0.2,0.0,0.2,40,3,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,1.0,1.4,0.35,0.0,0.35,0.0,0.35,20,3,rule,0.1
rule_alpha0.2,fine,nominal,0.55,1.25,0.25,0.0,0.25,0.2,0.35,20,3,rule,0.2
rule_alpha0.2,fine,spoof,0.8,1.2,0.2,0.0,0.2,0.0,0.2,20,3,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.7,1.05,0.05,0.0,0.05,0.05,0.1,20,3,rule,0.2
rule_alpha0.2,fine,sensor_fault,1.0,1.3,0.3,0.0,0.3,0.1,0.35,20,3,rule,0.2
rule_alpha0.2,coarse,nominal,0.55,1.05,0.05,0.0,0.05,0.15,0.2,20,3,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.775,1.075,0.075,0.0,0.075,0.0,0.075,40,3,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,1.0,1.25,0.25,0.0,0.25,0.1,0.35,20,3,rule,0.2
stacked_alpha0.1,fine,nominal,0.8,1.1,0.1,0.0,0.1,0.0,0.1,20,3,stacked,0.1
stacked_alpha0.1,fine,spoof,0.85,1.05,0.05,0.0,0.05,0.0,0.05,20,3,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.85,0.9,0.0,0.1,0.1,0.15,0.15,20,3,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,3,stacked,0.1
stacked_alpha0.1,coarse,nominal,0.8,0.85,0.0,0.15,0.15,0.15,0.15,20,3,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.775,0.875,0.0,0.125,0.125,0.15,0.15,40,3,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,3,stacked,0.1
stacked_alpha0.2,fine,nominal,0.7,0.75,0.0,0.25,0.25,0.25,0.25,20,3,stacked,0.2
stacked_alpha0.2,fine,spoof,0.55,0.65,0.0,0.35,0.35,0.35,0.35,20,3,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.85,0.85,0.0,0.15,0.15,0.15,0.15,20,3,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,3,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.7,0.75,0.0,0.25,0.25,0.25,0.25,20,3,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.725,0.775,0.0,0.225,0.225,0.225,0.225,40,3,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,3,stacked,0.2
