held_out_family,held_out_subtype,seed,score,n_train,n_calib,n_agg_features,best_feature,best_feature_auroc,best_feature_null_q95,best_feature_perm_p,auroc,auroc_lo,auroc_hi,mw_p,n_pos,n_neg,tpr_at_fpr,threshold_at_fpr,realised_fpr,threshold_q95,withheld_unseen_q95,withheld_seen_q95
spoof,drift_coherent,2,one_minus_conf,74,0,32,posvel_rms_max,0.9764705882352941,0.7923529411764705,0.004975124378109453,0.6196078431372549,0.4241020123935193,0.8151136738809905,0.25726365533130036,17,15,0.0,0.5491764130283807,0.0,,,
spoof,drift_coherent,2,mahalanobis_pca10,74,74,32,posvel_rms_max,0.9764705882352941,0.7923529411764705,0.004975124378109453,0.22745098039215686,0.0601974941385007,0.39470446664581305,0.009170561385617013,17,15,0.0,37.11775197574666,0.0,24.32847146027671,0.0,0.06666666666666667
spoof,drift_incoherent,0,mahalanobis,72,72,32,mean_gps_degrade,1.0,0.7766233766233764,0.004975124378109453,0.8636363636363636,0.7452336723872994,0.9820390548854279,0.00029669061394642246,22,14,0.18181818181818182,218.5550406611429,0.0,141.20964959031133,0.2727272727272727,0.14285714285714285
spoof,drift_incoherent,0,iforest,72,72,32,mean_gps_degrade,1.0,0.7766233766233764,0.004975124378109453,0.9025974025974026,0.8030851977816192,1.0,6.134609884159991e-05,22,14,0.22727272727272727,0.5334252883505596,0.0,0.5606235159944147,0.045454545454545456,0.0
spoof,drift_incoherent,0,one_minus_conf,72,0,32,mean_gps_degrade,1.0,0.7766233766233764,0.004975124378109453,0.15584415584415584,0.013403197412574203,0.29828511427573745,0.0006182647352110252,22,14,0.09090909090909091,0.5058143749058956,0.0,,,
spoof,drift_incoherent,0,mahalanobis_pca10,72,72,32,mean_gps_degrade,1.0,0.7766233766233764,0.004975124378109453,0.6883116883116883,0.5145018167978554,0.8621215598255212,0.062059035456352454,22,14,0.0,87.69661306971624,0.0,26.625573493298276,0.045454545454545456,0.07142857142857142
spoof,drift_incoherent,1,mahalanobis,72,72,32,run_gps_degrade,0.9983766233766234,0.7827922077922077,0.004975124378109453,0.9090909090909091,0.8130933096344459,1.0,4.6516753312165034e-05,22,14,0.045454545454545456,150.7215815574172,0.0,74.58212503142535,0.4090909090909091,0.07142857142857142
spoof,drift_incoherent,1,iforest,72,72,32,run_gps_degrade,0.9983766233766234,0.7827922077922077,0.004975124378109453,0.9253246753246753,0.8386992670642572,1.0,2.288345287899676e-05,22,14,0.5,0.5180493038893946,0.0,0.5341311880225197,0.36363636363636365,0.0
spoof,drift_incoherent,1,one_minus_conf,72,0,32,run_gps_degrade,0.9983766233766234,0.7827922077922077,0.004975124378109453,0.1038961038961039,0.0,0.22266624700021814,8.057872483045134e-05,22,14,0.0,0.5550581839481539,0.0,,,
spoof,drift_incoherent,1,mahalanobis_pca10,72,72,32,run_gps_degrade,0.9983766233766234,0.7827922077922077,0.004975124378109453,0.8538961038961039,0.731264484757579,0.9765277230346289,0.00043021036043549595,22,14,0.22727272727272727,15.50569088528484,0.0,32.70418735199823,0.045454545454545456,0.0
spoof,drift_incoherent,2,mahalanobis,72,72,32,p90_gps_degrade,1.0,0.7810876623376624,0.004975124378109453,0.9383116883116883,0.8599151095575325,1.0,1.2740102751011531e-05,22,14,0.5454545454545454,56.111035248911925,0.0,73.27085881091858,0.4090909090909091,0.0
spoof,drift_incoherent,2,iforest,72,72,32,p90_gps_degrade,1.0,0.7810876623376624,0.004975124378109453,0.9253246753246753,0.8386992670642572,1.0,2.288345287899676e-05,22,14,0.45454545454545453,0.5104065602438783,0.0,0.552569528469979,0.09090909090909091,0.0
spoof,drift_incoherent,2,one_minus_conf,72,0,32,p90_gps_degrade,1.0,0.7810876623376624,0.004975124378109453,0.1461038961038961,0.007593331858009145,0.28461446034978305,0.00043021036043549595,22,14,0.0,0.5232504961917878,0.0,,,
spoof,drift_incoherent,2,mahalanobis_pca10,72,72,32,p90_gps_degrade,1.0,0.7810876623376624,0.004975124378109453,0.7467532467532467,0.587140299703838,0.9063661938026555,0.014286680158703366,22,14,0.18181818181818182,18.422793532114962,0.0,17.738551413159172,0.18181818181818182,0.07142857142857142
spoof,jump,0,mahalanobis,73,73,32,max_gps_degrade,1.0,0.7877289377289376,0.004975124378109453,0.7509157509157509,0.5875950476733022,0.9142364541581997,0.015960493265781774,21,13,0.0,3096.5889105586357,0.0,179.75080341561946,0.0,0.07692307692307693
spoof,jump,0,iforest,73,73,32,max_gps_degrade,1.0,0.7877289377289376,0.004975124378109453,0.6813186813186813,0.5005461213234592,0.8620912413139035,0.08247788747320965,21,13,0.0,0.5352534516014092,0.0,0.585975177181908,0.0,0.0
spoof,jump,0,one_minus_conf,73,0,32,max_gps_degrade,1.0,0.7877289377289376,0.004975124378109453,0.7838827838827839,0.6308253223332113,0.9369402454323564,0.006357215082587965,21,13,0.19047619047619047,0.5075376696123288,0.0,,,
spoof,jump,0,mahalanobis_pca10,73,73,32,max_gps_degrade,1.0,0.7877289377289376,0.004975124378109453,0.41025641025641024,0.2088901230776816,0.6116226974351389,0.3950338816925788,21,13,0.0,518.0698752191225,0.0,38.71768547723833,0.0,0.07692307692307693
spoof,jump,1,mahalanobis,73,73,32,step_minus_vel_max_max,1.0,0.7802197802197802,0.004975124378109453,0.47985347985347987,0.2768443624442223,0.6828625972627375,0.8593572038773206,21,13,0.047619047619047616,19.862123968918578,0.0,49.732232680425504,0.0,0.0
spoof,jump,1,iforest,73,73,32,step_minus_vel_max_max,1.0,0.7802197802197802,0.004975124378109453,0.4139194139194139,0.21234464217229834,0.6154941856665295,0.4150234288974084,21,13,0.0,0.5121076344411766,0.0,0.5158050524528938,0.0,0.0
spoof,jump,1,one_minus_conf,73,0,32,step_minus_vel_max_max,1.0,0.7802197802197802,0.004975124378109453,0.7289377289377289,0.5595117446663624,0.8983637132090954,0.028007113147075276,21,13,0.0,0.5401425372035935,0.0,,,
spoof,jump,1,mahalanobis_pca10,73,73,32,step_minus_vel_max_max,1.0,0.7802197802197802,0.004975124378109453,0.2783882783882784,0.09424106948418817,0.4625354872923686,0.03347747793290842,21,13,0.047619047619047616,16.678325168801702,0.0,23.861473739232697,0.0,0.0
spoof,jump,2,mahalanobis,73,73,32,step_minus_vel_max_max,1.0,0.7859890109890109,0.004975124378109453,0.3553113553113553,0.15876000901081866,0.551862701611892,0.16694059070590372,21,13,0.0,62.92104450648352,0.0,89.91544488826926,0.0,0.0
spoof,jump,2,iforest,73,73,32,step_minus_vel_max_max,1.0,0.7859890109890109,0.004975124378109453,0.3626373626373626,0.1652575665890039,0.5600171586857213,0.189781982363746,21,13,0.0,0.5702945592290797,0.0,0.5550065890683777,0.0,0.07692307692307693
spoof,jump,2,one_minus_conf,73,0,32,step_minus_vel_max_max,1.0,0.7859890109890109,0.004975124378109453,0.945054945054945,0.8692134340661681,1.0,1.8024206132448617e-05,21,13,0.5238095238095238,0.4436413196860505,0.0,,,
spoof,jump,2,mahalanobis_pca10,73,73,32,step_minus_vel_max_max,1.0,0.7859890109890109,0.004975124378109453,0.18315018315018314,0.025210251865102812,0.3410901144352635,0.0023059186670580227,21,13,0.0,26.702273840321347,0.0,27.101340937580098,0.0,0.0
gps_degrade,no_fix_then_ok,0,mahalanobis,80,80,32,gps_nofix_frac_max,1.0,0.7419999999999999,0.004975124378109453,1.0,1.0,1.0,2.1171511802089494e-11,30,20,1.0,13446.969554444226,0.05,88.9106197320168,1.0,0.2
gps_degrade,no_fix_then_ok,0,iforest,80,80,32,gps_nofix_frac_max,1.0,0.7419999999999999,0.004975124378109453,0.345,0.18656020960657438,0.5034397903934256,0.06698525423196508,30,20,0.0,0.633381131556016,0.05,0.5464571067835057,0.0,0.25
gps_degrade,no_fix_then_ok,0,one_minus_conf,80,0,32,gps_nofix_frac_max,1.0,0.7419999999999999,0.004975124378109453,0.6083333333333333,0.45041352137258994,0.7662531452940766,0.20149976615171283,30,20,0.26666666666666666,0.10047829331539126,0.05,,,
gps_degrade,no_fix_then_ok,0,mahalanobis_pca10,80,80,32,gps_nofix_frac_max,1.0,0.7419999999999999,0.004975124378109453,0.2833333333333333,0.13335688867562656,0.4333097779910401,0.010332989819720681,30,20,0.0,5026.084926579046,0.05,30.95762326739891,0.0,0.2
gps_degrade,no_fix_then_ok,1,mahalanobis,80,80,32,gps_nofix_frac_max,1.0,0.7318333333333333,0.004975124378109453,1.0,1.0,1.0,2.1171511802089494e-11,30,20,1.0,121.7179113917153,0.05,51.38809896145058,1.0,0.15
gps_degrade,no_fix_then_ok,1,iforest,80,80,32,gps_nofix_frac_max,1.0,0.7318333333333333,0.004975124378109453,0.33,0.17328727440396383,0.4867127255960362,0.04443124048237292,30,20,0.0,0.5741797914962823,0.05,0.5375485927604233,0.06666666666666667,0.15
gps_degrade,no_fix_then_ok,1,one_minus_conf,80,0,32,gps_nofix_frac_max,1.0,0.7318333333333333,0.004975124378109453,0.6216666666666667,0.46526845522513705,0.7780648781081964,0.1510837576857439,30,20,0.23333333333333334,0.2062400598955093,0.05,,,
gps_degrade,no_fix_then_ok,1,mahalanobis_pca10,80,80,32,gps_nofix_frac_max,1.0,0.7318333333333333,0.004975124378109453,0.42,0.2559039902982183,0.5840960097017817,0.3468892911616084,30,20,0.1,35.400683252980784,0.05,18.504134320394773,0.16666666666666666,0.25
gps_degrade,no_fix_then_ok,2,mahalanobis,80,80,32,gps_nofix_frac_max,1.0,0.745,0.004975124378109453,1.0,1.0,1.0,2.1171511802089494e-11,30,20,1.0,64.04029341446181,0.05,32.26016630913845,1.0,0.1
gps_degrade,no_fix_then_ok,2,iforest,80,80,32,gps_nofix_frac_max,1.0,0.745,0.004975124378109453,0.2816666666666667,0.1319706087923816,0.43136272454095176,0.00975810980773937,30,20,0.03333333333333333,0.5448902858519663,0.05,0.5294987108554845,0.1,0.15
gps_degrade,no_fix_then_ok,2,one_minus_conf,80,0,32,gps_nofix_frac_max,1.0,0.745,0.004975124378109453,0.74,0.603776005466681,0.876223994533319,0.004487039578769376,30,20,0.36666666666666664,0.0859081391812424,0.05,,,
gps_degrade,no_fix_then_ok,2,mahalanobis_pca10,80,80,32,gps_nofix_frac_max,1.0,0.745,0.004975124378109453,0.18666666666666668,0.05813356325417704,0.31519977007915634,0.00020477375114575958,30,20,0.1,16.672510986771833,0.05,16.145522595802053,0.1,0.15
gps_degrade,off_then_ok,0,mahalanobis,79,79,32,gps_silent_frac_max,1.0,0.74375,0.004975124378109453,1.0,1.0,1.0,6.822019169192792e-12,32,20,1.0,110.96061644000397,0.05,56.50537156646186,1.0,0.1
gps_degrade,off_then_ok,0,iforest,79,79,32,gps_silent_frac_max,1.0,0.74375,0.004975124378109453,0.0703125,0.0,0.1524227534376323,2.42977981395943e-07,32,20,0.0,0.563091139654382,0.05,0.5276265501810703,0.03125,0.15
gps_degrade,off_then_ok,0,one_minus_conf,79,0,32,gps_silent_frac_max,1.0,0.74375,0.004975124378109453,0.9671875,0.9207381880224472,1.0,1.9719111621761724e-08,32,20,0.96875,0.06548561134088848,0.05,,,
gps_degrade,off_then_ok,0,mahalanobis_pca10,79,79,32,gps_silent_frac_max,1.0,0.74375,0.004975124378109453,0.1046875,0.005622291243992841,0.20375270875600715,2.0418288231348592e-06,32,20,0.0,36.67926294073138,0.05,24.68550257935182,0.03125,0.1
gps_degrade,off_then_ok,1,mahalanobis,79,79,32,max_gps_degrade,1.0,0.74390625,0.004975124378109453,1.0,1.0,1.0,6.822019169192792e-12,32,20,1.0,20387.12381119471,0.05,373.1845032087765,1.0,0.15
gps_degrade,off_then_ok,1,iforest,79,79,32,max_gps_degrade,1.0,0.74390625,0.004975124378109453,0.0421875,0.0,0.10627662622770763,3.7637193930156115e-08,32,20,0.0,0.6142942903223082,0.05,0.5478251696045511,0.03125,0.3
gps_degrade,off_then_ok,1,one_minus_conf,79,0,32,max_gps_degrade,1.0,0.74390625,0.004975124378109453,0.9359375,0.8700788006964904,1.0,1.6208859173406378e-07,32,20,0.65625,0.1696467691544038,0.05,,,
gps_degrade,off_then_ok,1,mahalanobis_pca10,79,79,32,max_gps_degrade,1.0,0.74390625,0.004975124378109453,0.0578125,0.0,0.13253367697765078,1.0753605185034885e-07,32,20,0.0,4449.843808703211,0.05,81.85047142690995,0.0,0.15
gps_degrade,off_then_ok,2,mahalanobis,79,79,32,gps_silent_frac_max,1.0,0.7328515624999999,0.004975124378109453,1.0,1.0,1.0,6.822019169192792e-12,32,20,1.0,483.4891002620171,0.05,221.23606775526324,1.0,0.15
gps_degrade,off_then_ok,2,iforest,79,79,32,gps_silent_frac_max,1.0,0.7328515624999999,0.004975124378109453,0.10625,0.0065045057726194205,0.20599549422738056,2.240439257953374e-06,32,20,0.0,0.6232093843340335,0.05,0.5539929404511271,0.0,0.25
gps_degrade,off_then_ok,2,one_minus_conf,79,0,32,gps_silent_frac_max,1.0,0.7328515624999999,0.004975124378109453,0.9125,0.8349169793295383,0.9900830206704616,7.190844601312751e-07,32,20,0.65625,0.14134047403283112,0.05,,,
gps_degrade,off_then_ok,2,mahalanobis_pca10,79,79,32,gps_silent_frac_max,1.0,0.7328515624999999,0.004975124378109453,0.0890625,0.0,0.18093100183620808,7.920006830166572e-07,32,20,0.0,69.3872364987369,0.05,24.666799384288407,0.0,0.3
gps_degrade,stuck_then_ok,0,mahalanobis,80,80,32,max_spoof,1.0,0.7349431818181816,0.004975124378109453,0.9983766233766234,0.9875790113443839,1.0,2.0950610045711886e-09,28,22,1.0,38.87474389369665,0.045454545454545456,71.81951666145059,0.9642857142857143,0.045454545454545456
gps_degrade,stuck_then_ok,0,iforest,80,80,32,max_spoof,1.0,0.7349431818181816,0.004975124378109453,0.974025974025974,0.9304323466639212,1.0,1.2186343768450395e-08,28,22,0.8571428571428571,0.5725547217756525,0.045454545454545456,0.5309877466668678,0.9285714285714286,0.09090909090909091
gps_degrade,stuck_then_ok,0,one_minus_conf,80,0,32,max_spoof,1.0,0.7349431818181816,0.004975124378109453,0.00487012987012987,0.0,0.025853736079268996,2.53492189515345e-09,28,22,0.0,0.08119983761769356,0.045454545454545456,,,
